	PC 1	PC 2	PC 3
MRPS7	0.00165	-0.00111	0.01161
MRPS9	0.00417	0.02047	0.01129
MRPS10	-0.00184	-0.00207	-0.00417
MRPS11	-0.01194	0.00869	-0.00385
MRPS12	0.00452	-0.01711	0.01621
MRPS14	0.00704	0.00504	0.00592
MRPS15	-0.00019	0.00912	0.01386
MRPS16	-0.00388	0.01115	0.01318
MRPS18A	0.00747	-0.00713	0.00254
MRPS18B	-0.0098	0.00146	0.00039
MRPS18C	-0.00909	-0.00327	0.00714
MRPS21	-0.00716	0.00312	0.00424
MRPS22	0.00863	0.01982	0.00499
MRPS23	0.00569	0.00792	0.00399
MRPS24	-0.00062	0.00472	0.00691
MRPS25	-0.01221	-0.00434	-0.00362
MRPS27	-0.00557	0.00864	0.00892
MRPS28	-0.00364	0.00281	0.00762
MRPS33	-0.00556	-0.00692	0.00813
MRPS35	-0.00032	0.01837	0.00772
MRPS36	-0.01474	-0.00254	0.00558
MRRF	-0.00424	0.01443	-0.02232
MRS2	0.01252	0.01971	0.00158
MRTO4	-0.00926	0.00221	0.00059
MSANTD4	-0.00835	0.03953	0.00342
MSH2	-0.01614	0.02534	0.00617
MSH6	-0.01134	-0.01957	0.00195
MSL3	0.0033	0.01754	-0.00396
MSMO1	0.00698	0.00675	0.00053
MSN	-0.01773	0.03374	-0.03511
MSRB1	0.02693	0.00791	0.01289
MT-CO2	0.00951	0.00665	0.01148
MT-CYB	0.01537	0.00621	0.01773
MT-ND5	0.01395	-0.00005	-0.00057
MT1E	-0.02072	-0.00507	-0.02351
MT1F	0.0059	-0.01232	-0.00724
MT1M	-0.0152	-0.0104	-0.00255
MT1X	-0.00583	-0.00917	-0.04433
MT2A	-0.01178	0.01566	-0.0363
MT3	-0.0224	0.01283	-0.01158
MTA3	0.00446	0.00024	-0.00018
MTCH2	0.00266	0.01115	0.01162
MTDH	-0.00079	-0.00371	-0.00601
MTERF	-0.00692	0.0027	-0.01543
MTERFD1	0.00225	0.01644	-0.00694
MTERFD3	0.01486	-0.00545	-0.01063
MTF1	-0.00463	-0.01818	-0.01797
MTF2	-0.0158	-0.00525	0.0036
MTG1	0.00163	0.00863	0.00215
MTHFD1	0.01432	0.0301	-0.00253
MTHFD2	-0.01541	0.00602	0.0014
MTHFD2L	-0.01493	0.00565	-0.0069
MTIF2	-0.00375	0.00183	-0.00613
MTIF3	-0.00927	0.00286	0.00249
MTM1	0.0206	0.00826	0.008
MTMR2	0.00749	0.0174	-0.01562
MTMR3	-0.01312	-0.00706	-0.01416
MTMR4	-0.00583	-0.00573	-0.01937
MTMR6	-0.00581	0.0167	-0.01601
MTMR9	-0.0174	-0.00194	0.00035
MTMR10	-0.00392	0.0138	-0.00719
MTMR11	0.02794	-0.01312	-0.00853
MTO1	0.00467	-0.00697	-0.02165
MTOR	-0.00558	0.00324	-0.00705
MTPAP	0.00301	0.0097	-0.00179
MTR	-0.00211	-0.00485	-0.00455
MTRNR2L8	-0.00276	-0.00189	-0.00153
MTRR	0.01269	0.01068	-0.01851
MTTP	0.01929	-0.00588	0.01199
MTUS1	0.00433	-0.01089	0.01241
MTX1	0.01322	0.01754	0.0062
MTX2	0.00075	0.00163	-0.00034
MTX3	-0.01563	-0.01201	-0.01751
MUC16	-0.01885	-0.02317	-0.00828
MUL1	0.02578	0.01694	0.00159
MUM1	-0.0153	-0.01057	-0.01496
MUT	0.00831	0.01245	-0.02475
MUTED	-0.00359	0.00212	-0.0133
MUTYH	0.0014	0.0049	-0.00761
MVP	0.02363	0.00626	-0.02382
MX1	0.01714	-0.0179	0.01587
MXD1	0.00326	-0.02821	-0.01198
MXI1	-0.00186	-0.01155	-0.00784
MYADM	0.02149	-0.0325	-0.0085
MYBPC1	0.04332	-0.03751	0.02182
MYC	0.03377	-0.00539	0.00602
MYCBP	0.00453	0.00649	-0.01058
MYCBP2	-0.02048	-0.0096	0.00309
MYD88	0.02791	0.0153	-0.00202
MYEF2	-0.0313	0.00015	-0.00859
MYEOV2	0.00086	-0.00791	0.00856
MYH9	0.02434	-0.01222	-0.01847
MYH10	0.00011	0.01643	0.01419
MYH11	-0.01703	-0.01545	-0.00225
MYL6	0.01352	0.00156	-0
MYL6B	-0.0048	-0.00248	-0.00033
MYL12A	0.01426	0.00041	-0.01044
MYL12B	0.00105	0.00446	-0.00015
MYLK	0.05093	-0.02448	0.01254
MYNN	-0.00142	0.00219	0.00554
MYO5A	-0.02473	-0.01065	0.00596
MYO6	0.00328	0.00841	0.00298
MYO9A	-0.02028	-0.00941	-0.01775
MYO10	-0.01008	-0.00535	0.02059
MYO19	-0.0143	-0.00008	-0.01135
MYSM1	-0.0205	-0.00852	-0.02118
MZT1	-0.01572	0.01032	-0.00378
N4BP2	-0.02852	0.00447	-0.01895
N4BP2L2	-0.01794	0.00449	-0.01081
NAA15	-0.00426	-0.01125	0.00417
NAA20	-0.00116	-0.00757	0.00223
NAA25	-0.00407	0.00024	-0.01388
NAA35	-0.00166	-0.00463	-0.01924
NAA38	-0.01385	-0.00181	0.00585
NAA40	-0.00324	0.01059	-0.008
NAA50	0.0102	0.00513	-0.01263
NAB1	-0.00674	-0.00001	0.00571
NACA	-0.00457	-0.00209	0.00183
NADKD1	-0.01338	-0.00237	0.00489
NADSYN1	0.01726	0.0055	-0.01076
NAE1	-0.00553	-0.00138	0.0108
NAGA	0.01611	0.0088	-0.00781
NAGK	0.01284	-0.002	0.00629
NAIP	-0.01814	-0.01736	-0.01388
NAMPT	0.05486	-0.02023	-0.05989
NANS	0.01481	-0.00372	-0.00489
NAP1L1	-0.00411	0.00003	0.00395
NAP1L4	-0.00438	0.01486	0.01456
NAPA	-0.00277	-0.00909	0.01039
NAPB	-0.00217	0.0037	-0.00743
NAPEPLD	-0.00936	0.00971	-0.02406
NAPG	0.00698	-0.00186	-0.00908
NARF	-0.00456	-0.00045	-0.00239
NARG2	-0.01636	0.00196	-0.0109
NARS	0.00823	0.01214	-0.00746
NARS2	0.00002	0.00202	-0.0024
NASP	-0.0034	0.01169	0.00281
NAT9	0.00985	0.0026	-0.0178
NAT10	0.00972	0.01868	-0.01272
NAV1	-0.00322	-0.01313	0.01517
NAV2	-0.00695	-0.01878	-0.00429
NBAS	-0.00266	-0.00435	0.00225
NBEA	-0.02708	-0.00919	-0.00773
NBEAL1	-0.00788	-0.01459	-0.01232
NBN	0.01117	0.01091	-0.009
NBPF10	-0.00115	-0.00283	-0.00596
NBPF14	-0.00402	-0.00779	0.00006
NBR1	0.00377	0.01019	-0.01781
NBR2	-0.00223	0.00185	-0.01154
NCALD	-0.0218	-0.02808	0.05352
NCAM1	-0.00037	-0.00546	0.01426
NCAM2	0.00337	-0.04343	0.02018
NCAN	0.02389	-0.01082	0.04496
NCAPD2	-0.00884	0.01898	-0.00003
NCAPD3	-0.00461	0.03364	0.00026
NCAPG2	-0.0087	0.02188	0.0208
NCBP1	-0.01028	0.0053	-0.00279
NCBP2	0.00619	0.00688	0.00407
NCEH1	0.01457	0.0139	-0.01972
NCK1	-0.00034	0.00519	0.00083
NCKAP5	-0.01455	-0.03128	-0.00187
NCL	-0.00212	0.01427	0.00779
NCOA1	-0.0073	-0.01001	0.01085
NCOA3	-0.01419	-0.01864	0.00455
NCOA4	0.01748	0.01842	0.00259
NCOA6	-0.01854	-0.02735	-0.01092
NCOA7	0.00334	-0.02305	-0.01542
NCOR1	-0.00743	-0.00443	-0.00215
NCSTN	0.01362	0.02234	-0.01436
NDEL1	0.00117	0.00214	-0.00732
NDFIP1	-0.01031	-0.01136	-0.00188
NDFIP2	-0.00298	0.01727	0.00675
NDP	0.03746	0.0176	-0.00356
NDRG1	-0.00415	-0.02915	-0.04449
NDRG2	0.00645	-0.01327	0.04356
NDRG3	0.00002	-0.01661	0.00387
NDRG4	-0.0121	0.01436	-0.01283
NDUFA1	-0.00228	-0.00115	0.00527
NDUFA2	-0.00574	0.00189	0.0058
NDUFA3	-0.00479	-0.01159	0.02349
NDUFA4	-0.00332	0.00792	0.01263
NDUFA5	-0.00602	-0.00311	-0.00416
NDUFA6	0.00149	-0.00554	0.00663
NDUFA7	-0.00491	0.00144	0.00236
NDUFA8	-0.00516	-0.00233	0.00898
NDUFA9	0.00001	0.00351	0.0027
NDUFA10	-0.00225	0.00882	0.0058
NDUFA11	0.00141	-0.00431	0.01108
NDUFA13	0.00452	0.00609	0.0129
NDUFAB1	-0.01899	0.00189	0.00134
NDUFAF1	-0.01763	0.01589	-0.0055
NDUFAF3	-0.00194	-0.00322	-0.00111
NDUFAF4	-0.00235	-0.00511	-0.01363
NDUFB1	-0.00498	-0.00855	0.01404
NDUFB2	0.00326	0.0001	0.01387
NDUFB3	-0.00576	0.00028	0.01303
NDUFB4	-0.00289	-0.00057	0.00291
NDUFB5	-0.00437	-0.00027	0.00612
NDUFB6	-0.00399	-0.0085	0.01839
NDUFB7	-0.00624	-0.00212	0.00477
NDUFB8	-0.00105	0.00369	0.00646
NDUFB9	-0.00774	0.00543	0.00544
NDUFB10	-0.01169	0.00509	0.00511
NDUFB11	-0.00621	0.00027	0.0117
NDUFC1	0.00046	-0.0016	0.00569
NDUFC2	-0.00423	0.0067	0.01632
NDUFS1	0.00927	0.00303	-0.0037
NDUFS2	0.00204	0.00223	-0.00328
NDUFS3	-0.00941	0.02013	0.00325
NDUFS4	-0.00933	0.00212	0.00247
NDUFS5	-0.00268	0.00292	0.013
NDUFS6	-0.00528	0.00115	0.00547
NDUFS7	-0.00659	-0.00132	0.00818
NDUFS8	-0.00273	0.00066	0.00516
NDUFV1	0.0068	-0.00106	0.01167
NDUFV2	-0.00238	0.00234	-0.0039
NDUFV3	0.00117	-0.00207	0.00185
NEAT1	0.00762	-0.00328	-0.01581
NECAB1	0.0118	0.00701	-0.01153
NECAP1	0.00283	0.00546	-0.01489
NECAP2	0.01945	-0.00359	-0.00229
NEDD1	0.00698	0.01518	-0.01159
NEDD4L	0.00091	-0.02013	-0.00813
NEDD8	0.00406	0.00607	0.00687
NEDD9	0.02808	0.01506	-0.03299
NEIL2	0.01136	0.00737	-0.00026
NEK1	-0.00618	-0.01249	0.00444
NEK6	0.01562	0.02638	-0.0281
NELL2	0.00547	-0.00168	-0.00038
NEMF	-0.00616	0.00601	0.00024
NES	-0.02232	-0.00309	0.00433
NETO2	-0.01309	0.01644	0.00189
NF1	-0.01545	-0.01923	-0.00964
NF2	0.01382	0.011	-0.00061
NFAT5	-0.01731	-0.01079	-0.01814
NFE2L2	0.00414	0.00005	-0.00661
NFIA	0.0055	-0.0069	0.02173
NFIB	-0.01204	-0.00572	0.01242
NFIC	-0.00354	0.00864	-0.01283
NFIX	-0.01432	-0.01519	0.00526
NFKBIA	0.04516	-0.02169	0.00946
NFKBIZ	0.02912	-0.01752	-0.00619
NFRKB	0.00453	-0.00194	-0.00455
NFS1	0.00406	-0.00605	-0.01405
NFU1	0.00512	0.00077	-0.00519
NFX1	-0.00593	-0.0165	-0.01351
NFYB	-0.01241	0.01517	-0.01352
NFYC	-0.00492	0.01929	0.01233
NGDN	-0.00634	-0.00118	-0.001
NGFRAP1	0.00178	0.0112	0.01255
NGLY1	-0.00902	-0.00626	-0.01066
NGRN	-0.01405	0.00912	-0.0087
NHLRC2	-0.01205	-0.00621	-0.00826
NHP2	-0.00274	0.00777	0.00589
NHP2L1	-0.0074	-0.00698	-0.00683
NHSL1	-0.00456	-0.02043	0.01584
NICN1	-0.00064	-0.00471	0.00144
NIF3L1	0.0096	-0.00091	0.00248
NIN	-0.02203	-0.00589	0.00677
NIP7	-0.00137	0.00273	-0.00105
NIPAL3	0.00058	-0.00201	-0.01505
NIPBL	-0.01452	-0.00415	0.0005
NIPSNAP1	-0.0028	0.02671	0.01642
NIPSNAP3A	0.02423	-0.02355	-0.00823
NIT1	0.01672	0.01101	-0.00065
NIT2	0.0072	0.00201	-0.00056
NKAIN4	-0.01753	-0.01279	0.04479
NKAP	-0.0088	-0.00116	-0.00768
NKIRAS1	-0.00125	-0.00513	0.00332
NKIRAS2	-0.00457	0.00154	0.00335
NKTR	-0.00437	-0.00235	-0.01007
NLGN1	0.00159	-0.00056	0.00876
NLGN3	-0.01936	0.02405	0.04468
NLGN4X	0.00224	0.00914	0.00239
NLGN4Y	-0.00824	-0.00005	0.03473
NLN	-0.00617	-0.01353	-0.01008
NLRC5	0.01852	-0.01065	0.00324
NMD3	0.00406	-0.00664	-0.00812
NME1-NME2	-0.00002	0.01085	0.00912
NME6	0.00244	-0.00656	-0.00709
NME7	-0.00564	-0.01764	-0.01303
NMNAT1	-0.00157	-0.01063	-0.01246
NMRAL1	0.01464	-0.00148	0.01212
NMT1	0.00849	-0.00323	0.00975
NNMT	0.04391	-0.03153	0.00062
NNT	0.00286	0.02833	0.01888
NOC2L	-0.02859	-0.00371	-0.00996
NOC3L	0.00572	0.00212	-0.00026
NOL8	-0.00555	-0.01702	-0.00476
NOL9	-0.00033	-0.0009	-0.00796
NOL11	0.00327	0.01941	-0.00487
NOL12	-0.0134	0.00509	-0.009
NOLC1	0.0116	0.00664	-0.00668
NOMO1	-0.0075	-0.00147	-0.0003
NOMO2	-0.01175	-0.004	-0.00868
NONO	-0.0061	0.01869	0.00732
NOP2	0.01204	0.006	-0.00606
NOP10	-0.01107	0.00286	0.00348
NOP56	-0.00418	0.00983	0.01138
NOP58	-0.01142	0.00906	-0.00266
NOTCH2	-0.00632	-0.01584	0.00597
NOTCH2NL	-0.01447	-0.00738	-0.00705
NOVA1	-0.01866	0.00573	0.01182
NPAT	-0.01504	0.00726	-0.00795
NPC1	-0.0066	-0.00393	-0.01289
NPEPPS	0.00423	-0.00319	-0.00763
NPM1	-0.00505	0.00871	0.01291
NPNT	0.01177	-0.00315	0.00877
NPPA-AS1	-0.00334	-0.01289	-0.01177
NPRL2	0.01153	-0.00623	-0.00266
NPTN	-0.01794	0.00073	-0.00619
NQO1	0.02212	-0.01507	-0.00594
NQO2	0.01766	0.01003	0.00011
NR2C1	-0.01285	0.00137	-0.00795
NR2C2	-0.00626	-0.01109	-0.01106
NR2C2AP	0.01151	0.0138	0.00893
NR3C1	-0.00239	-0.0147	-0.00579
NRAS	0.00127	0.00279	0.00304
NRBF2	0.02433	0.00839	-0.00272
NRBP1	0.01428	0.01537	-0.00731
NRCAM	0.00984	0.02185	-0.00271
NREP	-0.01071	0.01166	0.00418
NRIP1	-0.00614	-0.00851	0.00228
NRN1	-0.00357	-0.01011	-0.02699
NRP1	0.0058	0.0202	-0.05159
NRP2	0.03407	-0.0001	-0.0176
NRSN1	-0.01419	0.00148	0.00519
NRSN2	0.01077	0.00103	0.01449
NRXN1	-0.03579	-0.02761	0.0314
NRXN3	0.01445	0.01002	-0.04229
NSD1	-0.01088	0.00766	0.00269
NSDHL	0.01778	0.01138	0.00541
NSF	-0.00079	0.00975	-0.00214
NSFL1C	-0.00367	-0.00629	0.00871
NSL1	-0.00079	0.00641	0.0093
NSMAF	-0.00685	0.00322	-0.02131
NSMCE1	0.00958	0.00144	0.01208
NSMCE2	0.00393	0.00403	-0.00594
NSUN5	-0.0043	-0.00243	-0.00562
NSUN5P2	-0.02395	-0.00674	-0.00068
NT5C2	0.00441	0.00998	0.00306
NT5DC3	0.022	-0.02089	-0.00011
NTM	0.00985	-0.02553	0.00272
NTPCR	-0.00767	0.00504	0.01022
NTRK2	0.00553	-0.04353	-0.01584
NTRK3	-0.01806	-0.00831	0.01757
NUB1	-0.008	-0.01312	-0.01283
NUBP1	0.00859	0.01302	0.01274
NUBP2	-0.00103	-0.00046	0.01309
NUBPL	-0.00302	-0.00735	-0.00513
NUCB1	0.00416	-0.00883	0.00739
NUCB2	-0.00517	0.00241	-0.00544
NUCKS1	0.00429	0.01287	-0.01256
NUDCD1	-0.00011	0.01601	-0.00488
NUDCD2	-0.00995	-0.00204	0.00164
NUDCD3	0.01401	0.00877	-0.00811
NUDT4	0.00743	-0.0336	0.00703
NUDT5	0.00752	0.01606	0.00867
NUDT9	-0.00695	0.00503	-0.00762
NUDT16	0.01779	-0.00608	0.00347
NUDT19	0.00567	-0.00469	0.00933
NUDT21	-0.01253	0.01057	-0.00775
NUFIP2	-0.00186	-0.00537	-0.00995
NUMA1	-0.0075	-0.01287	-0.03138
NUMB	0.00045	-0.00213	0.00033
NUP35	0.00524	0.00895	0.01306
NUP37	0.00652	0.02765	0.00392
NUP43	0.00171	-0.01133	0.0011
NUP54	0.00099	0.00788	0.00124
NUP62	-0.01138	0.00389	0.00047
NUP85	0.00388	0.01163	0.00012
NUP88	0.00058	0.00504	-0.01017
NUP93	0.00956	0.01937	0.02122
NUP98	-0.01092	0.00344	-0.0137
NUP107	-0.0093	0.00306	0.01102
NUP133	-0.00266	0.00763	-0.00279
NUP155	0.01104	0.02442	-0.00006
NUP160	-0.00722	0.00362	-0.00896
NUP188	-0.00146	0.01185	-0.01751
NUP205	0.00554	0.00708	0.00699
NUP214	-0.01521	0.00645	0.00004
NUPL1	-0.01769	0.02013	-0.01029
NUPL2	-0.00865	0.00697	-0.00051
NUPR1	0.02697	-0.04298	-0.01654
NUSAP1	-0.01453	0.02962	0.02163
NUTF2	-0.00277	-0.00077	0.01093
NVL	-0.00574	0.00521	-0.0059
NXF1	0.01308	-0.00381	-0.01082
NXT2	0.01704	0.00986	0.00083
OAS1	0.0095	0.0108	-0.00299
OAT	0.00382	0.00371	0.00286
OAZ1	-0.0039	-0.00149	0.00254
OAZ2	0.00518	0.01655	-0.00356
OBFC1	0.00797	0.00636	-0.01052
OBFC2B	-0.01245	0.01217	0.00598
OCIAD1	0.00239	0.01453	-0.00229
OCIAD2	-0.03103	0.01754	-0.02117
OCLN	-0.01312	-0.00623	-0.00538
ODF2	0.00735	0.01891	0.00898
ODF2L	-0.0158	-0.02132	-0.01265
ODZ1	-0.039	0.01028	-0.00531
OFD1	-0.01533	-0.01702	-0.01915
OGDH	0.00292	0.00632	-0.01626
OGFOD1	0.00964	0.00859	0.00323
OGG1	0.01278	0.01572	-0.00214
OGT	-0.01186	0.00838	-0.00937
OIP5-AS1	-0.02009	0.00504	-0.01049
OLA1	-0.0033	0.00128	0.00452
OLFML2A	-0.01817	-0.01279	-0.01916
OLIG1	-0.03155	-0.00486	0.03718
OPA1	-0.00641	0.01557	-0.00376
OPHN1	-0.01472	-0.02616	-0.01031
OR7E37P	-0.01283	-0.01637	-0.00779
ORC3	0.00493	-0.00399	-0.00895
ORC4	-0.01282	-0.02157	-0.0122
ORC5	0.00568	0.00293	0.00473
ORC6	-0.01765	-0.01137	0.009
ORMDL1	-0.01567	0.00351	-0.0014
ORMDL2	0.01989	0.00547	0.00006
OS9	0.00011	0.00028	-0.0138
OSBP	0.00042	-0.00964	0.00519
OSBPL1A	-0.01188	-0.01196	0.00882
OSBPL2	-0.00402	-0.01453	0.00383
OSBPL3	-0.00211	0.0075	-0.02797
OSBPL8	-0.00583	-0.00836	-0.00072
OSBPL9	0.00928	0.00655	0.00467
OSBPL11	0.0131	-0.01689	0.01339
OSGEP	-0.00259	0.00381	-0.0018
OST4	0.00317	0.00046	0.0061
OTUB1	0.00035	-0.00324	0.00019
OTUD4	-0.00388	-0.00817	-0.01442
OTUD6B	0.00432	0.01384	-0.00754
OTUD7B	-0.02108	-0.02677	-0.02957
OXA1L	0.02646	0.01521	0.01609
OXCT1	0.00037	0.02904	0.01697
OXNAD1	0.00432	0.00466	-0.00004
OXR1	-0.00353	-0.00794	-0.01456
OXSM	0.0023	0.00345	-0.00368
P2RX7	0.00153	-0.0317	0.01118
P4HA1	0.00479	-0.02671	-0.02051
P4HB	-0.00814	0.00459	-0.01346
PA2G4	-0.00485	0.01238	0.00146
PABPC1	-0.01146	-0.00919	-0.00316
PACS2	-0.009	-0.00698	-0.00255
PADI2	-0.00334	-0.00791	-0.0296
PAF1	0.00831	0.01186	0.01559
PAFAH1B1	-0.00878	0.00723	-0.0091
PAFAH1B2	0.01091	0.00403	-0.00416
PAFAH1B3	-0.00294	-0.00336	0.04323
PAFAH2	-0.00617	-0.01264	-0.01604
PAG1	-0.00953	-0.02551	-0.00491
PAICS	-0.0016	0.02018	0.00214
PAIP1	-0.01175	-0.01416	0.00045
PAIP2	-0.00589	0.00028	0.00336
PAK1IP1	-0.00396	0.0021	0.00711
PAK2	-0.01442	-0.00561	-0.00039
PALB2	0.00162	0.00536	0.0016
PALLD	0.01912	-0.0321	0.01594
PAM	0.02021	-0.00696	-0.01604
PAMR1	0.04359	-0.01235	0.01184
PAN2	-0.00178	-0.00004	-0.01302
PAN3	-0.00627	0.0032	-0.01307
PAPD4	-0.00677	0.00551	-0.01126
PAPOLA	-0.00865	0.00223	-0.0017
PAPOLG	-0.01657	-0.00627	-0.0261
PAPSS1	-0.00042	0.01348	0.01434
PAQR7	0.00328	-0.01105	-0.00606
PARD6B	-0.00838	-0.0231	-0.00097
PARK7	0.0005	0.0094	0.01434
PARL	-0.00507	-0.00272	0.00847
PARN	0.01656	0.00278	-0.01204
PARP1	0.00045	0.01033	0.00973
PARP2	0.00676	0.02878	0.0198
PARP3	0.01332	0.00906	-0.00827
PARP4	-0.00458	0.0317	-0.00554
PARP9	0.00951	0.00108	-0.00348
PARP11	0.00042	0.00704	0.00558
PARP14	0.00941	-0.01191	0.00775
PARVA	-0.02234	-0.00709	-0.01767
PAX6	0.01561	-0.01035	0.00863
PBRM1	-0.01211	-0.00252	-0.00509
PCBD2	-0.00252	0.00272	0.00617
PCBP1	-0.02106	-0.00873	-0.0032
PCBP1-AS1	-0.00852	-0.01494	-0.00848
PCBP2	-0.00811	0.00429	-0.00084
PCCB	0.00364	0.01171	0.00058
PCDH9	0.01094	-0.00257	0.01195
PCDH10	-0.00999	-0.01142	-0.00203
PCDH17	-0.03239	-0.00183	0.01795
PCDHA7	-0.00176	0.00729	-0.0103
PCDHGA2	-0.00331	0.01492	0.00268
PCF11	-0.01931	-0.01147	-0.00645
PCGF3	-0.00836	-0.01242	-0.02779
PCIF1	-0.00862	-0.01156	0.00288
PCM1	-0.00653	0.00711	-0.00031
PCMT1	0.01019	-0.01832	0.00815
PCMTD1	-0.024	-0.01276	-0.01365
PCMTD2	-0.02693	0.00269	0.01534
PCNA	-0.00253	0.01535	0.02679
PCNP	-0.00057	0.00086	-0.00351
PCNT	-0.00097	0.01377	-0.00758
PCNX	-0.01591	0.00093	-0.00836
PCOLCE	-0.0028	0.04143	-0.02328
PCOLCE2	0.01147	0.00918	-0.03712
PCSK1	0.02407	0.00918	-0.04233
PCSK5	-0.01662	-0.03073	-0.01458
PCSK7	0.02562	0.0075	0.01082
PCYOX1	0.01131	0.00626	-0.00957
PDAP1	-0.0032	-0.00634	0.00638
PDCD4	-0.00316	-0.01102	-0.01092
PDCD5	-0.00364	0.0045	0.00717
PDCD6	-0.0145	0.00274	-0.00781
PDCD10	0.00352	0.00105	-0.00143
PDCD11	-0.0134	0.00245	-0.01128
PDCL	-0.00204	-0.00732	0.00202
PDCL3	0.00589	0.0052	0.00855
PDDC1	0.00195	-0.01119	0.00177
PDE4B	-0.0103	0.0104	0.02683
PDE4D	-0.00744	-0.00618	-0.01567
PDE4DIP	0.00276	-0.00869	0.00181
PDE6D	0.00334	0.00168	0.01223
PDE8B	-0.00468	-0.00893	-0.02379
PDE12	-0.00442	0.00629	-0.0167
PDGFA	-0.00715	0.0042	0.01246
PDGFC	-0.01957	0.01375	-0.01774
PDHA1	-0.00034	0.01248	0.00672
PDHB	0.01201	0.01175	0.00896
PDHX	0.00973	0.00944	0.00168
PDIA4	-0.00011	0.02635	-0.01311
PDIA6	0.00054	0.02365	-0.01116
PDIK1L	0.00119	0.00817	0.00116
PDK1	-0.00885	-0.02226	-0.02492
PDK2	0.00875	0.00321	-0.00463
PDLIM2	0.00548	-0.015	0.00745
PDLIM3	0.02382	-0.01206	0.00269
PDP1	0.01957	0.00758	-0.01222
PDP2	-0.00064	-0.01256	-0.01029
PDPN	0.03497	0.00968	-0.03836
PDRG1	0.02014	-0.01466	0.02585
PDS5A	-0.01215	-0.00296	-0.01231
PDS5B	-0.02013	0.01317	-0.01825
PDSS2	-0.01414	-0.01911	-0.00994
PDXDC1	0.0013	0.00392	-0.00471
PDXDC2P	-0.01277	-0.01216	-0.01317
PDXK	0.01468	-0.02845	-0.00616
PDZD2	-0.0383	-0.00336	0.00561
PDZD11	0.00545	0.00575	0.01521
PEA15	0.01419	-0.00308	0.00623
PEBP1	-0.0008	0.00805	0.00708
PEF1	0.00898	0.00341	0.00396
PEG10	-0.00379	0.0151	-0.00016
PELI1	-0.00345	-0.02604	-0.00549
PELI2	-0.00704	-0.00716	0.00179
PELO	0.00459	0.0132	-0.0107
PEMT	0.00004	-0.0017	0.02279
PEPD	-0.00012	0.00416	0.02041
PER2	-0.0044	-0.02152	-0.00889
PET112	0.00567	0.0137	-0.00635
PEX1	-0.01802	-0.01181	-0.00158
PEX2	0.00353	-0.00463	-0.00644
PEX3	0.01078	-0.00397	0.01525
PEX11B	0.00241	0.01648	-0.01169
PEX13	-0.00234	-0.01502	-0.00576
PEX19	0.0047	0.01124	-0.00773
PFDN1	-0.00372	0.00598	0.0113
PFDN2	-0.01863	0.00206	0.00329
PFDN4	-0.0218	-0.00815	0.00264
PFDN5	-0.00472	0.00074	0.00398
PFKFB2	0.02725	-0.01864	0.00736
PFKFB3	0.02995	-0.01553	-0.00568
PFKFB4	0.00192	-0.01084	-0.02589
PFKL	-0.00303	-0.00624	-0.00601
PFKM	0.01987	0.00271	0.01129
PFKP	-0.01055	-0.00677	-0.02633
PFN2	0.02409	-0.0234	0.02412
PGAM1	-0.00585	0.00409	0.00094
PGAM2	0.0483	-0.03247	0.01959
PGAP1	-0.01887	0.00678	-0.00411
PGAP3	0.00293	0.00575	-0.0202
PGBD1	0.00345	-0.00477	-0.00197
PGD	-0.00227	0.0245	0.01706
PGGT1B	-0.00282	-0.00999	-0.00518
PGK1	0.00359	-0.00548	-0.0112
PGM1	0.02103	-0.00188	0.00184
PGM2	0.00764	0.01448	0.00591
PGM2L1	0.00771	0.02101	-0.06199
PGM3	0.00634	-0.0115	0.0013
PGM5P2	-0.01416	-0.01743	-0.00687
PGPEP1	-0.00982	0.00532	-0.01905
PGRMC2	0.00038	-0.00644	-0.00289
PHACTR4	0.00647	-0.00521	-0.00012
PHAX	0.00046	0.01181	0.00661
PHB	0.00087	0.00543	0.01042
PHB2	-0.01832	0.00014	0.00156
PHC1	0.00048	-0.00306	0.00382
PHC2	-0.00355	-0.00237	-0.00565
PHC3	-0.00075	-0.00996	-0.01814
PHF3	0.00052	-0.01437	-0.00949
PHF6	-0.01537	-0.00026	-0.0048
PHF12	-0.00777	-0.00237	-0.00099
PHF14	-0.01611	-0.00682	0.00342
PHF17	-0.01897	-0.00588	-0.00627
PHF20	0.00113	-0.01006	-0.00145
PHF20L1	-0.01476	-0.01091	-0.00326
PHF21A	-0.01181	-0.00519	-0.00541
PHGDH	0.00263	-0.00316	0.04199
PHIP	-0.01422	0.01158	-0.01617
PHKB	0.00664	0.00201	0.00548
PHKG2	-0.0069	-0.00005	-0.00676
PHLDA1	-0.01422	-0.03936	0.01657
PHLDB1	0.00335	-0.01178	0.01246
PHLDB2	0.00169	-0.02174	-0.01265
PHLPP1	-0.01719	0.00312	0.01444
PHLPP2	-0.01058	-0.00899	-0.00776
PHPT1	0.01067	-0.00807	0.01078
PHTF1	-0.00731	-0.00403	-0.01237
PHTF2	-0.00683	0.00558	-0.0072
PHYH	0.02636	-0.00986	0.00358
PHYHIPL	0.00568	-0.01281	0.05475
PI4KB	0.01019	0.02542	-0.00224
PIAS1	-0.00757	0.00853	-0.02015
PIAS3	0.0151	-0.00125	0.00077
PIBF1	-0.02289	-0.00353	-0.00276
PICALM	-0.00668	-0.01105	-0.00843
