	Cell1	Cell2	Cell3	Cell4	Cell5	Cell6	Cell7	Cell8	Cell9	Cell10	Cell11	Cell12	Cell13	Cell14	Cell15	Cell16	Cell17	Cell18	Cell19	Cell20	Cell21	Cell22	Cell23	Cell24	Cell25	Cell26	Cell27	Cell28	Cell29	Cell30	Cell31	Cell32	Cell33	Cell34	Cell35	Cell36	Cell37	Cell38	Cell39	Cell40	Cell41	Cell42	Cell43	Cell44	Cell45	Cell46	Cell47	Cell48	Cell49	Cell50	Cell51	Cell52	Cell53	Cell54	Cell55	Cell56	Cell57	Cell58	Cell59	Cell60	Cell61	Cell62	Cell63	Cell64	Cell65
DGUOK	0.44	0.34	0.34	0.62	0.95	0.57	0.59	0.85	0.91	0.52	0.32	0.41	0.71	0.03	0.84	0.83	0.81	0.92	0.70	0.80	0.24	0.43	0.51	0.70	0.14	0.19	0.88	0.93	0.22	0.41	0.16	0.24	0.29	0.96	0.70	0.85	0.55	0.54	0.33	0.75	0.55	0.48	0.99	0.38	0.65	0.34	0.37	0.83	0.66	0.67	0.95	0.48	0.63	0.91	0.74	0.69	0.06	0.43	0.52	0.36	0.68	0.98	0.74	0.81	0.73
ZFML	0.16	0.29	0.37	0.30	0.05	0.65	0.89	0.44	0.74	0.77	0.52	0.96	0.40	0.56	0.07	0.00	0.77	0.40	0.72	0.49	0.08	0.23	0.12	0.06	0.61	0.68	0.25	0.23	0.42	0.86	0.21	0.44	0.36	0.51	0.42	0.16	0.94	0.70	0.52	0.21	0.64	0.04	0.14	0.20	0.24	0.02	0.54	0.71	0.08	0.99	0.96	0.01	0.60	0.67	0.17	0.51	0.33	0.57	0.21	0.89	0.37	0.24	0.06	0.63	0.80
PCYOX1	0.01	0.37	0.87	0.41	0.69	0.28	0.10	0.53	0.81	0.97	0.98	0.68	0.49	0.13	0.68	0.58	0.06	0.06	0.30	0.30	0.25	0.33	0.60	0.09	0.48	0.05	0.03	0.23	0.81	0.95	0.93	0.06	0.61	0.40	0.07	0.15	0.33	0.62	0.99	0.57	0.59	0.58	0.30	0.95	0.14	0.49	0.12	0.91	0.83	0.28	0.58	0.90	0.74	0.55	0.30	0.65	0.03	0.18	0.05	0.98	0.76	0.94	0.25	0.49	0.77
NFU1	0.43	0.39	0.24	0.85	0.46	0.08	0.71	0.47	0.83	0.88	0.74	0.41	0.15	0.80	0.61	0.43	0.07	0.13	0.56	0.50	0.19	0.14	0.91	0.86	0.73	0.94	0.86	0.52	0.21	0.34	0.74	0.29	0.37	0.11	0.03	0.47	0.88	0.67	0.46	0.23	0.22	0.09	0.67	0.69	0.93	0.39	0.48	0.47	0.99	0.57	0.63	0.66	0.21	0.71	0.71	0.79	0.37	0.17	0.53	0.01	0.92	0.90	0.89	0.32	1.00
CNBP	0.46	0.92	0.56	0.40	0.24	0.22	0.95	0.13	0.22	0.27	0.44	0.28	0.09	0.53	0.37	0.33	0.54	0.05	0.35	0.85	0.59	0.74	0.23	0.25	0.62	0.81	0.36	0.70	0.17	0.98	0.76	0.28	0.01	0.22	0.14	0.83	0.32	0.47	0.29	0.11	0.11	0.39	0.25	0.97	0.78	0.74	0.81	0.96	0.61	0.21	0.10	0.09	0.91	0.66	0.54	0.59	0.15	0.01	0.16	0.34	0.87	0.71	0.38	0.86	0.82
RUVBL1	0.91	0.25	0.00	0.29	0.74	0.32	0.64	0.76	0.98	0.64	0.01	0.48	0.14	0.63	0.26	0.89	0.27	0.17	0.18	0.83	0.43	0.97	0.80	0.50	0.02	0.55	0.38	0.82	0.28	0.72	0.75	0.98	0.90	0.31	0.43	0.38	0.22	0.45	0.25	0.98	0.04	0.56	0.88	0.30	0.06	0.84	0.13	0.18	0.65	0.84	0.88	0.81	0.12	0.72	0.61	0.00	0.14	0.08	0.53	0.59	0.06	0.09	0.54	0.14	0.29
SLC41A3	0.78	0.25	0.78	0.92	0.30	0.58	0.53	0.19	0.83	0.69	0.59	0.90	0.62	0.70	0.15	0.91	0.22	0.29	0.52	0.80	0.96	0.73	0.55	0.04	0.81	0.88	0.10	0.21	0.56	0.97	0.45	0.30	0.08	0.74	0.06	0.70	0.78	0.65	0.35	0.89	0.41	0.00	0.91	0.35	0.77	0.53	0.46	0.59	0.43	0.65	0.19	0.93	0.43	0.96	0.18	0.93	0.68	0.28	0.46	0.97	0.96	0.35	0.83	0.21	0.13
NR2C2	0.50	0.41	0.87	0.08	0.09	0.80	0.96	0.69	0.63	0.97	0.34	0.77	0.78	0.67	0.51	0.77	0.90	0.77	0.99	0.15	0.20	0.04	0.76	0.44	0.22	0.21	0.31	0.25	0.22	0.61	0.15	0.08	0.22	0.29	0.89	0.44	0.01	0.31	0.23	0.38	0.36	0.38	0.29	0.83	0.98	0.74	0.27	0.87	0.57	0.43	0.21	0.86	0.77	0.60	0.58	0.36	0.19	0.25	0.82	0.34	0.43	0.36	0.24	0.39	0.80
ARL6IP5	0.94	0.90	0.54	0.48	0.60	0.63	0.79	0.77	0.95	0.03	0.58	0.64	0.97	0.86	0.55	0.10	0.25	0.98	0.81	0.63	0.74	0.77	0.49	0.77	0.83	0.14	0.42	0.06	0.19	0.53	0.83	0.10	0.90	0.70	0.08	0.35	0.62	0.99	0.05	0.54	0.93	0.08	0.92	0.91	0.62	0.55	0.32	0.64	0.30	0.35	0.31	0.64	0.23	0.48	0.18	0.11	0.95	0.25	0.00	0.34	0.00	0.32	0.94	0.92	0.36
AK145340	0.91	0.49	0.78	0.01	0.26	0.81	0.62	0.30	0.22	0.67	0.21	0.77	0.92	0.84	0.15	0.91	0.32	0.44	0.67	0.23	0.01	0.79	0.32	0.23	0.42	0.91	0.87	0.50	0.70	0.09	0.96	0.36	0.83	0.63	0.90	0.85	0.60	0.23	0.36	0.52	0.25	0.74	0.68	0.58	0.97	0.57	0.55	0.51	0.37	0.14	0.27	0.17	0.69	0.75	0.54	0.02	0.98	0.39	0.48	0.51	0.53	0.63	0.22	0.85	0.61
EDEM1	0.97	0.99	0.81	0.77	0.95	0.64	0.05	0.84	0.35	0.77	0.59	0.88	0.24	0.59	0.50	0.52	0.91	0.88	0.99	0.18	0.28	0.66	0.85	0.71	0.10	0.72	0.72	0.89	0.31	0.84	0.81	0.17	0.63	0.03	0.46	0.91	0.47	0.09	0.50	0.56	0.45	0.06	0.09	0.24	0.75	0.35	0.82	0.10	0.54	0.34	0.25	0.21	0.01	0.75	0.14	0.90	0.49	0.52	0.25	0.50	0.92	0.45	0.11	0.55	0.50
TADA3	0.09	0.08	0.65	0.57	0.92	0.41	0.10	0.10	0.77	0.22	0.39	0.12	0.92	0.28	0.46	0.76	0.41	0.92	0.83	0.06	0.54	0.82	0.88	0.39	0.21	0.82	0.71	0.98	0.69	0.19	0.39	0.76	0.11	0.30	0.65	0.42	0.17	0.86	0.60	0.62	0.48	0.05	0.53	0.54	0.04	0.34	0.95	0.47	0.78	0.86	0.71	0.08	0.74	0.77	0.42	0.27	0.08	0.96	0.58	0.21	0.37	0.65	0.15	0.85	0.37
SEC13	0.82	0.83	0.68	0.84	0.32	0.44	0.97	0.62	0.17	0.26	0.58	0.77	0.82	0.87	0.26	0.57	0.28	0.47	0.91	0.66	0.87	0.57	0.22	0.56	0.27	0.93	0.63	0.18	0.38	0.65	0.74	0.99	0.85	0.02	0.27	0.38	0.92	0.02	0.45	0.95	0.28	0.90	0.02	0.32	0.46	0.35	0.89	0.49	0.47	0.59	0.15	0.98	0.11	0.18	0.89	0.41	0.43	0.27	0.78	0.62	0.40	0.74	0.19	0.36	0.03
TMCC1	0.61	0.94	0.97	0.64	0.72	0.06	0.66	0.45	0.59	0.56	0.15	0.40	0.48	0.35	0.04	0.61	0.57	0.45	0.09	0.38	0.56	0.88	0.01	0.89	0.55	0.75	0.29	0.27	0.44	0.83	0.32	0.05	0.55	0.19	0.24	0.49	0.27	0.21	0.66	0.70	0.84	0.75	0.46	0.56	0.53	0.94	0.22	0.75	0.03	0.32	0.64	0.10	0.82	0.59	0.21	0.67	0.87	0.26	0.97	0.69	0.08	0.58	0.39	0.42	0.28
BMS1	0.93	0.37	0.07	0.89	0.99	0.00	0.97	0.38	0.10	0.26	0.93	0.53	0.83	0.32	0.85	0.16	0.27	0.27	0.34	0.35	0.61	0.97	0.40	0.41	0.15	0.64	0.09	0.17	0.78	0.25	0.78	0.58	0.70	0.21	0.70	0.69	0.55	0.19	0.33	0.97	0.21	0.58	0.57	0.89	0.14	0.06	0.12	0.37	0.21	0.01	0.20	0.93	0.26	0.53	0.80	0.79	0.54	0.03	0.01	0.04	0.98	0.79	0.00	0.73	0.57
IL17RA	0.14	0.56	0.94	0.10	0.41	0.41	0.45	0.06	0.11	0.62	0.62	0.01	0.61	0.56	0.96	0.09	0.09	0.10	0.98	0.54	0.51	0.69	0.18	0.71	0.06	0.30	0.22	0.81	0.95	0.78	0.93	0.08	0.91	0.89	0.95	0.52	0.12	0.81	0.05	1.00	0.37	0.18	0.18	0.33	0.19	0.37	0.83	0.80	0.15	0.64	0.11	0.26	0.30	0.10	0.59	0.11	0.97	0.35	0.40	0.23	0.47	0.67	0.29	0.48	0.58
APOBEC1	0.63	0.60	0.13	0.56	0.82	0.01	0.06	0.82	0.22	0.87	0.50	0.35	0.13	0.53	0.33	0.81	0.93	0.81	0.32	0.08	0.45	0.87	0.33	0.34	0.16	0.62	0.73	0.45	0.12	0.21	0.94	0.32	0.09	0.05	0.68	0.22	0.37	0.09	0.60	0.51	0.55	0.04	0.95	0.03	0.54	0.55	0.50	0.57	0.17	0.89	0.14	0.11	0.46	0.69	0.21	0.71	0.53	0.47	0.79	0.23	0.59	0.01	0.54	0.79	0.77
C030046I01RIK	0.45	0.10	0.22	0.96	0.62	0.09	0.99	0.76	0.17	0.11	0.23	0.28	0.10	0.01	0.82	0.34	0.61	0.93	0.36	0.23	0.31	0.71	0.62	0.55	0.16	0.55	0.95	0.38	0.15	0.89	0.46	0.32	0.98	0.06	0.28	0.00	0.29	0.67	0.64	0.15	0.91	0.29	0.03	0.92	0.61	0.86	0.83	0.21	0.36	0.27	0.97	0.73	0.55	0.65	0.53	0.37	0.63	0.77	0.05	0.17	0.59	0.17	0.40	0.83	0.47
LPCAT3	0.59	0.65	0.57	0.19	0.76	0.76	0.46	0.60	0.66	0.90	0.07	0.98	0.63	0.02	0.45	0.93	0.33	0.93	0.38	0.53	0.12	0.85	0.80	0.16	0.65	0.94	0.60	0.06	0.89	0.41	0.74	0.44	0.84	0.07	0.41	0.67	0.03	0.38	0.32	0.06	0.30	0.76	0.92	0.27	0.33	0.69	0.62	0.87	0.87	0.93	0.55	0.81	0.63	0.57	0.35	0.76	0.98	0.19	0.01	0.75	0.69	0.05	0.31	0.11	0.03
LEPREL2	0.13	0.77	0.79	0.54	0.82	0.28	0.37	0.48	0.42	0.30	0.46	0.67	0.15	0.63	0.47	0.91	0.45	0.35	0.84	0.08	0.69	0.12	0.62	0.47	0.96	0.98	0.84	0.93	0.13	0.09	0.43	0.39	0.80	0.73	0.55	0.45	0.18	0.04	0.43	0.61	0.66	0.55	0.82	0.62	0.77	0.27	0.05	0.77	0.93	0.04	0.22	0.90	0.04	0.23	0.37	0.51	0.41	0.28	0.53	0.86	0.46	0.39	0.91	0.07	0.05
MRPL51	0.36	0.99	0.68	0.33	0.22	0.27	0.85	0.08	0.93	0.31	0.47	0.16	0.94	0.61	0.27	0.35	0.73	0.91	0.89	0.56	1.00	0.52	0.23	0.93	0.96	0.61	0.45	0.58	0.52	0.25	0.46	0.51	0.44	0.34	0.32	0.20	0.36	0.77	0.70	0.24	0.15	0.05	0.76	0.61	0.83	0.71	0.13	0.24	1.00	0.69	0.27	0.96	0.26	0.77	0.40	0.84	0.99	0.55	0.31	0.02	0.76	0.15	0.38	0.31	0.64
NDUFA9	0.36	0.45	0.62	0.33	1.00	0.21	0.87	0.03	0.53	0.44	0.48	0.51	0.82	0.60	0.06	0.27	0.62	0.97	0.53	0.45	0.83	0.38	0.35	0.93	0.32	0.86	0.66	0.08	0.19	0.97	0.40	0.91	0.34	0.15	0.37	0.10	0.38	0.98	0.94	0.76	0.76	0.28	0.40	0.03	0.67	0.07	0.55	0.30	0.16	0.80	0.44	0.02	0.61	0.11	0.67	0.37	0.30	0.11	0.45	0.77	0.33	0.15	0.82	0.01	0.02
STK11	0.87	0.49	0.95	0.74	0.33	0.97	0.34	0.75	0.30	0.13	0.17	0.09	0.38	0.68	0.85	0.53	0.48	0.11	0.57	0.54	0.54	0.90	1.00	0.63	0.08	0.32	0.41	0.35	0.99	0.46	0.26	0.53	0.42	0.60	0.73	0.87	0.61	0.83	0.00	0.03	0.16	0.15	0.13	0.44	0.72	0.16	0.52	0.35	0.07	0.22	0.84	0.52	0.06	0.75	0.26	0.53	0.22	0.06	0.55	0.67	0.42	0.78	0.21	0.05	0.43
RPS15	0.78	0.97	0.13	0.90	0.92	0.24	0.12	0.20	0.86	0.69	0.77	0.48	0.22	0.09	0.26	0.63	0.05	0.66	0.63	0.16	0.28	0.93	0.66	0.26	0.57	0.34	0.74	0.60	0.41	0.40	0.50	0.25	0.77	0.46	0.78	0.25	0.97	0.87	0.32	0.90	0.56	0.08	0.26	0.66	0.30	0.23	0.53	0.34	0.65	0.62	0.33	0.37	0.83	0.05	0.94	0.66	0.51	0.22	0.19	0.88	0.95	0.74	0.77	0.60	0.99
CLEC2G	0.33	0.92	0.13	0.47	0.47	0.53	0.14	0.83	0.55	0.43	0.72	0.61	0.08	0.85	0.63	0.41	0.67	0.47	0.04	0.75	0.55	0.69	0.91	0.90	0.96	0.64	0.31	0.24	0.32	0.15	0.16	0.33	0.55	0.83	0.17	1.00	0.42	0.21	0.38	0.39	0.42	0.89	0.57	0.92	0.39	0.04	0.42	0.66	1.00	0.92	0.45	0.04	0.94	0.13	0.00	0.25	0.28	0.79	0.39	0.03	0.70	0.14	0.59	0.82	0.89
CLEC7A	0.07	0.72	0.80	0.58	0.01	0.21	0.14	0.39	0.22	0.33	0.91	0.90	0.14	0.47	0.63	0.09	0.43	0.25	0.04	0.97	0.86	0.31	0.55	0.32	0.01	0.18	0.66	0.13	0.07	0.92	0.57	0.01	0.62	0.57	0.52	0.98	0.94	0.98	0.19	0.77	0.93	0.15	0.08	0.67	0.82	0.18	0.96	0.40	0.60	0.49	0.34	0.40	0.32	0.81	0.08	0.43	0.94	0.50	0.41	0.83	0.32	0.64	0.30	0.33	0.84
CSDA	0.91	0.79	0.05	0.80	0.30	0.40	0.86	0.21	0.56	0.20	0.14	0.37	0.01	0.97	0.01	0.15	0.99	0.20	1.00	0.56	0.52	0.10	0.81	0.02	0.05	0.09	0.93	0.62	0.44	0.90	0.18	0.42	0.26	0.75	0.05	0.55	0.98	0.11	0.10	0.80	0.17	0.13	0.02	0.51	0.50	0.70	0.04	0.63	0.28	0.24	0.07	0.20	0.25	0.55	0.98	0.31	0.24	0.60	0.38	0.36	0.70	0.07	0.63	0.93	0.39
CREBL2	0.67	0.08	0.84	0.39	0.82	0.17	0.30	0.01	0.43	0.54	0.42	0.88	0.59	0.03	0.37	0.45	0.96	0.02	0.96	0.31	0.28	0.99	0.57	0.68	0.83	0.14	0.65	0.22	0.52	0.89	0.43	0.06	0.56	0.34	0.31	0.99	0.65	0.94	0.08	0.64	0.39	0.78	0.40	0.10	0.78	0.17	0.23	0.23	0.57	0.88	0.80	0.24	0.24	0.89	0.81	0.57	0.20	0.47	0.61	0.25	0.92	0.86	0.91	0.18	0.04
H2AFJ	0.90	0.62	0.32	0.88	0.30	0.99	0.18	0.08	0.65	0.34	0.10	0.46	0.20	0.27	0.52	0.82	0.17	0.38	0.87	0.08	0.89	0.22	1.00	0.73	0.83	0.39	0.76	0.82	0.01	0.77	0.58	0.67	0.10	0.94	0.80	0.60	0.80	0.24	0.73	0.52	0.90	0.12	0.81	0.55	0.46	0.97	0.42	0.20	0.02	0.56	0.38	0.84	0.91	0.51	0.46	0.39	0.06	0.96	0.31	0.40	0.40	0.66	0.87	0.88	0.09
MGST1	0.76	0.18	0.24	0.82	0.09	0.30	0.73	0.01	0.41	0.83	0.28	0.74	0.21	0.11	0.60	0.53	0.51	0.88	0.07	0.70	0.01	0.16	0.82	0.97	0.85	0.66	0.07	0.57	0.44	0.18	0.97	0.24	0.10	0.25	0.31	0.22	0.61	0.46	0.88	0.31	0.23	0.08	0.80	0.98	0.24	0.23	0.72	0.59	0.05	0.84	0.04	0.29	0.98	0.13	0.50	0.18	0.71	0.66	0.98	0.56	0.58	0.42	0.06	0.87	0.39
ABCC9	0.24	0.86	0.28	0.97	0.78	0.42	0.06	0.10	0.31	0.45	0.20	0.43	0.51	0.97	0.78	0.74	0.99	0.04	0.01	0.11	0.24	0.80	0.38	0.60	0.12	0.52	0.37	0.45	0.66	0.77	0.38	0.57	0.01	0.89	0.02	0.88	0.12	0.05	0.11	0.81	0.87	0.76	0.26	0.57	0.13	0.91	0.18	0.89	0.46	0.01	0.28	0.95	0.16	0.36	0.98	0.85	0.10	0.09	0.13	0.69	0.00	0.70	0.85	0.31	0.92
ITPR2	0.92	0.19	0.10	0.49	0.93	0.22	0.40	0.21	0.53	0.83	0.99	0.42	0.14	0.23	0.47	0.99	0.01	0.48	0.61	0.09	0.16	0.17	0.61	0.46	0.90	0.66	0.17	0.59	0.05	0.23	0.10	0.07	0.61	0.09	0.89	0.89	0.30	0.53	0.49	0.71	0.22	0.12	0.59	0.23	0.43	0.44	0.57	0.53	0.37	0.20	0.94	0.38	0.89	0.96	0.80	0.30	0.25	0.16	0.38	0.24	0.14	0.71	0.31	0.15	0.76
PPFIBP1	0.30	0.31	0.91	0.04	0.10	0.21	0.79	0.05	0.79	0.60	0.83	0.27	0.84	0.21	0.69	0.12	0.43	0.48	0.61	0.59	0.92	0.85	0.85	0.84	0.88	0.99	0.75	0.11	0.03	0.39	0.75	0.80	0.57	0.76	0.50	0.99	0.30	0.64	0.40	0.65	0.79	0.39	0.20	0.02	0.61	0.14	0.52	0.37	0.72	0.16	0.94	0.16	0.38	0.95	0.93	0.46	0.73	0.98	1.00	0.36	0.32	0.55	0.86	0.22	0.68
AK134400	0.49	0.61	0.54	0.05	0.35	0.60	0.09	0.70	0.33	0.90	0.90	0.85	0.48	0.09	0.38	0.14	0.45	0.56	0.86	0.04	0.43	0.04	0.88	0.30	0.60	0.32	0.67	0.26	0.56	0.78	0.39	0.96	0.27	0.85	0.43	0.40	0.87	0.97	0.58	0.76	0.12	0.81	0.38	0.71	0.16	0.57	0.35	0.19	0.80	0.44	0.13	0.66	0.21	0.20	0.63	0.41	0.81	0.49	0.05	0.35	0.15	0.90	0.26	0.23	0.99
MBOAT7	0.68	0.93	0.08	0.59	0.72	0.33	0.07	0.71	0.09	1.00	0.41	0.68	0.47	0.61	0.64	0.16	0.96	0.49	0.07	0.28	0.96	0.33	0.24	0.45	0.97	0.98	0.50	0.76	0.77	0.17	0.49	0.14	0.25	0.15	0.45	0.74	0.97	0.55	0.45	0.29	0.86	0.39	0.21	0.31	0.97	0.53	0.81	0.60	0.93	0.44	0.74	0.87	0.32	0.25	0.49	0.13	0.70	0.06	0.72	0.79	0.81	0.89	0.76	0.21	0.66
LENG8	0.31	0.69	0.64	0.64	0.55	0.92	0.10	0.01	0.33	0.08	0.20	0.35	0.87	0.98	0.59	0.73	0.13	0.66	0.74	0.91	0.66	0.79	0.14	0.54	0.19	0.01	0.01	0.30	0.97	0.34	0.09	0.51	0.57	0.04	0.39	0.87	0.03	0.91	0.23	0.54	0.92	0.36	0.41	0.98	0.63	0.17	0.84	0.82	0.51	0.27	0.73	0.29	0.40	0.96	0.67	0.31	0.06	0.05	0.26	0.17	0.19	0.89	0.46	0.90	0.82
RPL28	0.27	0.02	0.68	0.46	0.38	0.05	0.23	0.81	0.84	0.22	0.78	0.91	0.60	0.99	0.25	0.42	0.41	0.15	0.02	0.24	0.13	0.86	0.98	0.94	0.51	0.06	0.51	0.85	0.98	0.32	0.04	0.34	0.27	0.34	0.00	0.95	0.93	0.89	0.33	0.67	0.26	0.81	0.92	0.66	0.08	0.36	0.86	0.42	0.31	0.15	0.15	0.92	0.05	0.76	0.78	0.28	0.69	0.45	0.29	0.40	0.92	0.56	0.50	0.34	0.04
VMN1R65	0.87	0.15	0.01	0.88	0.12	0.73	0.66	0.90	0.68	0.16	0.62	0.89	0.71	0.27	0.00	0.03	0.28	0.41	0.78	0.42	0.83	0.19	0.45	0.83	0.45	0.40	0.11	0.71	0.87	0.29	0.66	0.20	0.43	0.07	0.65	0.47	0.89	0.93	0.08	0.24	0.83	0.11	0.61	0.30	0.83	0.58	0.89	0.41	0.20	0.24	0.94	0.90	0.75	0.95	0.08	0.50	0.68	0.13	0.12	0.60	0.61	0.36	0.84	0.18	0.27
ZFP329	0.55	0.78	0.20	0.61	0.94	0.63	0.76	0.98	0.17	0.29	0.87	0.10	0.96	0.58	0.35	0.38	0.55	0.83	0.71	0.35	0.32	0.29	0.32	0.23	0.33	0.86	0.75	0.92	0.31	0.61	0.72	0.86	0.22	0.04	0.71	0.69	0.68	0.74	0.13	0.20	0.65	0.65	0.13	0.53	0.78	0.61	0.86	0.58	0.89	0.47	0.14	0.03	0.10	0.67	0.06	1.00	0.61	0.78	0.58	0.97	0.83	0.13	0.87	0.92	0.74
CRX	0.29	0.21	0.47	0.71	0.25	0.46	0.10	0.71	0.69	0.81	0.19	0.79	0.57	0.20	0.11	0.61	0.98	0.95	0.26	0.43	0.07	0.29	0.90	0.86	0.27	0.62	0.49	0.78	0.36	0.61	0.63	0.15	0.98	0.47	0.73	0.63	0.23	0.53	0.94	0.71	0.49	0.94	0.59	0.33	0.02	0.37	0.38	0.56	0.71	0.06	0.35	0.61	0.03	0.13	0.47	0.73	0.23	0.10	0.63	0.21	0.72	0.96	0.53	0.09	0.56
ZC3H4	0.22	0.36	0.54	0.70	0.58	0.82	0.27	0.00	0.98	0.36	0.84	0.43	0.19	0.45	0.90	0.27	0.33	0.65	0.87	0.17	0.65	0.27	0.31	0.07	0.28	0.56	0.73	0.91	0.53	0.13	0.92	0.23	0.36	0.93	0.61	0.90	0.39	0.17	0.30	0.48	0.28	0.72	0.42	0.58	0.32	0.29	0.42	0.25	0.22	0.58	0.63	0.64	0.99	0.57	0.45	0.37	0.20	0.88	0.27	0.40	0.39	0.46	0.23	0.22	0.55
CALM3	0.95	0.97	0.28	0.00	0.40	0.77	0.28	0.08	0.18	0.38	0.95	0.56	0.30	0.09	0.64	0.89	0.95	0.49	0.95	0.75	0.14	0.35	0.73	0.27	0.70	0.67	0.10	0.40	0.59	0.18	0.15	0.22	0.59	0.72	0.24	0.69	0.64	0.66	0.70	0.84	0.11	0.13	0.23	0.45	0.01	0.79	0.04	0.67	0.96	0.86	0.90	0.89	0.71	0.59	0.58	0.11	0.58	0.10	0.36	0.23	0.06	0.74	0.94	0.36	0.87
SYMPK	0.92	0.49	0.32	0.33	0.56	0.76	0.96	0.43	0.92	0.77	0.35	0.95	0.10	0.41	0.93	0.79	0.13	0.68	0.66	0.20	0.99	0.21	0.90	0.08	0.88	0.37	0.89	0.25	0.11	0.84	0.45	0.31	0.38	0.22	0.79	0.96	0.42	0.49	0.04	0.23	0.74	0.96	0.17	0.07	0.28	0.05	0.74	0.46	0.68	0.85	0.08	0.01	0.12	0.85	0.81	0.12	0.98	0.33	0.64	0.85	0.69	0.59	0.25	0.28	0.82
CD3EAP	0.69	0.55	0.52	0.94	0.20	0.64	0.03	0.76	0.38	0.70	0.67	0.15	0.49	0.19	0.36	0.70	0.81	0.68	0.21	0.94	0.54	0.34	0.22	0.10	0.09	0.97	0.79	0.62	0.68	0.29	0.81	0.85	0.97	0.40	0.78	0.67	0.78	0.57	0.34	0.16	0.80	0.24	0.94	0.38	0.84	0.05	0.81	0.18	0.30	0.71	0.25	0.95	0.63	0.42	0.70	0.94	0.67	0.83	0.88	0.22	0.76	0.25	0.30	0.49	0.39
APOE	0.87	0.03	0.28	0.39	0.41	0.81	0.39	0.32	0.56	0.11	0.02	0.99	0.37	0.47	0.00	0.72	0.80	0.77	0.30	0.57	0.92	0.81	0.08	0.28	0.42	0.82	0.45	0.45	0.36	0.64	0.12	0.06	0.90	0.52	0.35	0.67	0.13	0.60	0.37	0.74	0.84	0.37	0.67	0.48	0.65	0.32	0.35	0.86	0.60	0.08	0.81	0.02	0.02	0.74	0.61	0.27	0.95	0.07	0.03	0.02	0.45	0.63	0.13	0.28	1.00
DOHH	0.80	0.14	0.98	0.20	0.74	0.91	0.52	0.76	0.89	0.96	0.11	0.26	0.66	0.60	0.09	0.91	0.01	0.82	0.29	0.31	0.20	0.06	0.75	0.29	0.35	0.17	0.05	0.87	0.44	0.59	0.17	0.42	0.37	0.47	0.40	0.50	0.38	0.77	0.28	0.59	0.75	0.16	0.58	0.27	0.69	0.35	0.91	0.32	0.81	1.00	0.27	0.35	0.37	0.30	0.76	0.82	0.75	0.42	0.14	0.93	0.09	0.81	0.06	0.30	0.90
1500002O20RIK	0.15	0.50	0.18	0.49	0.84	0.74	0.57	0.79	0.17	0.59	0.55	0.97	0.02	0.17	0.89	0.50	0.66	0.70	0.63	0.68	0.39	0.60	0.90	0.70	0.36	0.66	0.89	0.66	0.77	0.98	0.29	0.72	0.37	0.35	0.68	0.12	0.79	0.29	0.19	0.02	0.67	0.25	0.35	0.58	0.69	0.68	0.88	0.24	0.98	0.91	0.40	0.17	0.66	0.46	0.15	0.64	0.80	0.40	0.70	0.40	0.27	0.03	0.54	0.39	0.12
GSK3A	0.81	0.38	0.26	0.97	0.70	0.43	0.65	0.77	0.56	0.58	0.53	0.90	0.09	0.03	0.67	0.40	0.82	0.58	0.73	0.39	0.79	0.69	0.64	0.51	0.76	0.79	0.11	0.60	0.62	0.74	0.80	0.59	0.08	0.48	0.18	0.89	0.43	0.08	0.65	0.95	0.71	0.55	0.43	0.45	0.15	0.13	0.47	0.56	0.86	0.71	0.59	0.86	0.89	0.95	0.36	0.70	0.13	0.83	0.44	0.82	0.69	0.94	0.60	0.12	0.79
B9D2	0.04	0.28	0.55	0.55	0.33	0.26	0.01	0.03	0.43	0.02	0.83	0.86	0.77	0.57	0.64	0.25	0.91	0.93	0.24	0.24	0.88	0.47	0.03	0.12	0.28	0.97	0.89	0.55	0.19	0.47	0.03	0.35	0.35	0.52	0.22	0.42	0.31	0.79	0.34	0.16	0.74	0.08	0.84	0.97	0.11	0.14	0.83	0.67	0.87	0.04	0.83	0.71	0.84	0.23	0.13	0.83	0.09	0.62	0.96	0.47	0.34	0.35	0.37	0.61	0.11
BC024978	0.46	0.20	0.22	0.00	0.71	0.49	0.56	0.12	0.18	0.59	0.46	0.68	0.39	0.52	0.62	0.68	0.75	0.36	0.52	0.97	0.49	0.04	0.73	0.75	0.79	0.61	0.17	0.26	0.74	0.08	0.84	0.75	0.23	0.18	0.15	0.08	0.87	0.34	0.82	0.09	0.12	0.69	0.10	0.83	0.23	0.13	0.69	0.99	0.91	0.96	0.36	0.14	0.38	0.87	0.53	0.24	0.22	0.67	0.58	0.55	0.84	0.60	0.69	0.66	0.79
C030039L03RIK	0.51	0.26	0.89	0.86	0.35	0.50	0.23	0.92	0.14	0.05	0.12	0.22	0.55	0.48	0.35	0.10	0.46	0.97	0.07	0.61	0.46	0.33	0.84	0.75	0.33	0.06	0.36	0.37	0.33	0.00	0.36	0.20	0.87	0.28	0.62	0.91	0.76	0.92	0.19	0.54	0.83	0.24	0.31	0.29	0.43	0.92	0.43	0.16	0.05	0.94	0.95	0.57	0.34	0.18	0.70	0.10	0.43	0.05	0.30	0.65	0.87	0.81	0.57	0.36	0.80
